# object, x, y, z, voltage
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,6.883111596107499564e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,1.100354343652699962e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,9.229599684476899601e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,1.015285253524799980e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,7.130089402198799831e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,1.127910837531100052e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,1.012233868241299989e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,1.028819009661700035e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,7.265444844961199689e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,1.118763759732200047e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,1.092978641390800060e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,1.022664234042199999e-01
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,7.297448813915299870e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,1.080201640725099999e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,1.161282137036299955e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,9.929787367582300350e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,7.182957231998400582e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,1.016202047467199970e-01
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,1.198807880282399957e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,1.000000000000000000e+00,9.362529963254899446e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,1.000000000000000000e+00,6.876631081104299381e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,1.000000000000000000e+00,9.318801760673499357e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,1.000000000000000000e+00,1.182286813855199931e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,8.802723139524500084e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,6.590846925973900539e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,8.622291684150699964e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,1.138350889086700013e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,3.000000000000000000e+00,8.039253205061000496e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,3.000000000000000000e+00,6.145646795630500120e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,3.000000000000000000e+00,7.795609533786800049e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,3.000000000000000000e+00,1.048916950821899979e-01
0.000000000000000000e+00,-5.500000000000000000e+00,-2.000000000000000000e+00,4.000000000000000000e+00,7.207797467708600136e-02
